deviceid,date,avg(temp.TC),avg(temp.LW),AVG(temp.PLV2),farmid,cropname
ZT1FC3FS,25-01-2021,14.059979166,5,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,4/2/2021,16.993416665999998,3.9,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,14-02-2021,19.144249999,31.1,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,24-02-2021,22.047625001000004,6.3,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,6/3/2021,23.744229167,15.4,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,16-03-2021,24.655208333,34.6,0.020829999999999998,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,26-03-2021,27.184874999999998,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,5/4/2021,29.355083333,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,15-04-2021,29.500749998000003,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-04-2021,30.132458334000006,0,0,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,5/5/2021,32.358916666,0,0.00834,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,15-05-2021,30.546470238999994,13.1,0.00417,2CkGqcWtBndq5pHCh,Pomegranate
ZT1FC3FS,25-05-2021,29.421869047142856,49.285714285714285,0.29165714285714284,2CkGqcWtBndq5pHCh,Pomegranate
